index,Use_x,DR,SpeakerID,filename,FilePath,Gender,Ethnicity,age,height
8,TRAIN,DR4,MMDM0,SI681.WAV,TRAIN/DR4/MMDM0/SI681.WAV,M,WHT,27.2,190.5
18,TRAIN,DR4,MMDM0,SA2.WAV,TRAIN/DR4/MMDM0/SA2.WAV,M,WHT,27.2,190.5
20,TRAIN,DR4,MMDM0,SX411.WAV,TRAIN/DR4/MMDM0/SX411.WAV,M,WHT,27.2,190.5
23,TRAIN,DR4,MMDM0,SA1.WAV,TRAIN/DR4/MMDM0/SA1.WAV,M,WHT,27.2,190.5
26,TRAIN,DR4,MMDM0,SX231.WAV,TRAIN/DR4/MMDM0/SX231.WAV,M,WHT,27.2,190.5
27,TRAIN,DR4,MMDM0,SX51.WAV,TRAIN/DR4/MMDM0/SX51.WAV,M,WHT,27.2,190.5
31,TRAIN,DR4,MMDM0,SX141.WAV,TRAIN/DR4/MMDM0/SX141.WAV,M,WHT,27.2,190.5
34,TRAIN,DR4,MMDM0,SI1941.WAV,TRAIN/DR4/MMDM0/SI1941.WAV,M,WHT,27.2,190.5
44,TRAIN,DR4,MMDM0,SI1311.WAV,TRAIN/DR4/MMDM0/SI1311.WAV,M,WHT,27.2,190.5
47,TRAIN,DR4,MMDM0,SX321.WAV,TRAIN/DR4/MMDM0/SX321.WAV,M,WHT,27.2,190.5
58,TRAIN,DR4,MCSS0,SX300.WAV,TRAIN/DR4/MCSS0/SX300.WAV,M,WHT,24.45,177.8
64,TRAIN,DR4,MCSS0,SX210.WAV,TRAIN/DR4/MCSS0/SX210.WAV,M,WHT,24.45,177.8
65,TRAIN,DR4,MCSS0,SI750.WAV,TRAIN/DR4/MCSS0/SI750.WAV,M,WHT,24.45,177.8
70,TRAIN,DR4,MCSS0,SI1380.WAV,TRAIN/DR4/MCSS0/SI1380.WAV,M,WHT,24.45,177.8
73,TRAIN,DR4,MCSS0,SA2.WAV,TRAIN/DR4/MCSS0/SA2.WAV,M,WHT,24.45,177.8
76,TRAIN,DR4,MCSS0,SA1.WAV,TRAIN/DR4/MCSS0/SA1.WAV,M,WHT,24.45,177.8
83,TRAIN,DR4,MCSS0,SX390.WAV,TRAIN/DR4/MCSS0/SX390.WAV,M,WHT,24.45,177.8
93,TRAIN,DR4,MCSS0,SX30.WAV,TRAIN/DR4/MCSS0/SX30.WAV,M,WHT,24.45,177.8
99,TRAIN,DR4,MCSS0,SI688.WAV,TRAIN/DR4/MCSS0/SI688.WAV,M,WHT,24.45,177.8
100,TRAIN,DR4,MCSS0,SX120.WAV,TRAIN/DR4/MCSS0/SX120.WAV,M,WHT,24.45,177.8
102,TRAIN,DR4,MCDR0,SI524.WAV,TRAIN/DR4/MCDR0/SI524.WAV,M,WHT,25.08,177.8
115,TRAIN,DR4,MCDR0,SX164.WAV,TRAIN/DR4/MCDR0/SX164.WAV,M,WHT,25.08,177.8
117,TRAIN,DR4,MCDR0,SI1784.WAV,TRAIN/DR4/MCDR0/SI1784.WAV,M,WHT,25.08,177.8
119,TRAIN,DR4,MCDR0,SA2.WAV,TRAIN/DR4/MCDR0/SA2.WAV,M,WHT,25.08,177.8
120,TRAIN,DR4,MCDR0,SI1154.WAV,TRAIN/DR4/MCDR0/SI1154.WAV,M,WHT,25.08,177.8
121,TRAIN,DR4,MCDR0,SX74.WAV,TRAIN/DR4/MCDR0/SX74.WAV,M,WHT,25.08,177.8
124,TRAIN,DR4,MCDR0,SA1.WAV,TRAIN/DR4/MCDR0/SA1.WAV,M,WHT,25.08,177.8
128,TRAIN,DR4,MCDR0,SX344.WAV,TRAIN/DR4/MCDR0/SX344.WAV,M,WHT,25.08,177.8
129,TRAIN,DR4,MCDR0,SX434.WAV,TRAIN/DR4/MCDR0/SX434.WAV,M,WHT,25.08,177.8
149,TRAIN,DR4,MCDR0,SX254.WAV,TRAIN/DR4/MCDR0/SX254.WAV,M,WHT,25.08,177.8
151,TRAIN,DR4,MLEL0,SI1246.WAV,TRAIN/DR4/MLEL0/SI1246.WAV,M,WHT,27.02,170.18
154,TRAIN,DR4,MLEL0,SI1876.WAV,TRAIN/DR4/MLEL0/SI1876.WAV,M,WHT,27.02,170.18
160,TRAIN,DR4,MLEL0,SX166.WAV,TRAIN/DR4/MLEL0/SX166.WAV,M,WHT,27.02,170.18
172,TRAIN,DR4,MLEL0,SA2.WAV,TRAIN/DR4/MLEL0/SA2.WAV,M,WHT,27.02,170.18
173,TRAIN,DR4,MLEL0,SX76.WAV,TRAIN/DR4/MLEL0/SX76.WAV,M,WHT,27.02,170.18
175,TRAIN,DR4,MLEL0,SA1.WAV,TRAIN/DR4/MLEL0/SA1.WAV,M,WHT,27.02,170.18
181,TRAIN,DR4,MLEL0,SX436.WAV,TRAIN/DR4/MLEL0/SX436.WAV,M,WHT,27.02,170.18
182,TRAIN,DR4,MLEL0,SX346.WAV,TRAIN/DR4/MLEL0/SX346.WAV,M,WHT,27.02,170.18
185,TRAIN,DR4,MLEL0,SI616.WAV,TRAIN/DR4/MLEL0/SI616.WAV,M,WHT,27.02,170.18
200,TRAIN,DR4,MLEL0,SX256.WAV,TRAIN/DR4/MLEL0/SX256.WAV,M,WHT,27.02,170.18
212,TRAIN,DR4,FEEH0,SX302.WAV,TRAIN/DR4/FEEH0/SX302.WAV,F,WHT,23.87,162.56
219,TRAIN,DR4,FEEH0,SI1742.WAV,TRAIN/DR4/FEEH0/SI1742.WAV,F,WHT,23.87,162.56
220,TRAIN,DR4,FEEH0,SX212.WAV,TRAIN/DR4/FEEH0/SX212.WAV,F,WHT,23.87,162.56
223,TRAIN,DR4,FEEH0,SA2.WAV,TRAIN/DR4/FEEH0/SA2.WAV,F,WHT,23.87,162.56
225,TRAIN,DR4,FEEH0,SA1.WAV,TRAIN/DR4/FEEH0/SA1.WAV,F,WHT,23.87,162.56
227,TRAIN,DR4,FEEH0,SX392.WAV,TRAIN/DR4/FEEH0/SX392.WAV,F,WHT,23.87,162.56
238,TRAIN,DR4,FEEH0,SI471.WAV,TRAIN/DR4/FEEH0/SI471.WAV,F,WHT,23.87,162.56
240,TRAIN,DR4,FEEH0,SX32.WAV,TRAIN/DR4/FEEH0/SX32.WAV,F,WHT,23.87,162.56
242,TRAIN,DR4,FEEH0,SI1112.WAV,TRAIN/DR4/FEEH0/SI1112.WAV,F,WHT,23.87,162.56
244,TRAIN,DR4,FEEH0,SX122.WAV,TRAIN/DR4/FEEH0/SX122.WAV,F,WHT,23.87,162.56
254,TRAIN,DR4,MFWK0,SX259.WAV,TRAIN/DR4/MFWK0/SX259.WAV,M,WHT,37.3,175.26
258,TRAIN,DR4,MFWK0,SI619.WAV,TRAIN/DR4/MFWK0/SI619.WAV,M,WHT,37.3,175.26
265,TRAIN,DR4,MFWK0,SA2.WAV,TRAIN/DR4/MFWK0/SA2.WAV,M,WHT,37.3,175.26
267,TRAIN,DR4,MFWK0,SX439.WAV,TRAIN/DR4/MFWK0/SX439.WAV,M,WHT,37.3,175.26
268,TRAIN,DR4,MFWK0,SX349.WAV,TRAIN/DR4/MFWK0/SX349.WAV,M,WHT,37.3,175.26
270,TRAIN,DR4,MFWK0,SA1.WAV,TRAIN/DR4/MFWK0/SA1.WAV,M,WHT,37.3,175.26
276,TRAIN,DR4,MFWK0,SX79.WAV,TRAIN/DR4/MFWK0/SX79.WAV,M,WHT,37.3,175.26
278,TRAIN,DR4,MFWK0,SX169.WAV,TRAIN/DR4/MFWK0/SX169.WAV,M,WHT,37.3,175.26
291,TRAIN,DR4,MFWK0,SI1879.WAV,TRAIN/DR4/MFWK0/SI1879.WAV,M,WHT,37.3,175.26
298,TRAIN,DR4,MFWK0,SI1249.WAV,TRAIN/DR4/MFWK0/SI1249.WAV,M,WHT,37.3,175.26
